Ticket #,Tab,Vendor,MSC Part #,Material,Material Grade,Coolant,Interrupted Cut,Machine Type,Insert Number,Insert Grade,Surface Feet Per Minute,Inches Per Revolution,Total Depth of Cut in Inches,Number of Parts Per Insert Edge,Tool Life,Index Time in Seconds,Annual Part Production,Burden Rate Per Hour,Insert Cost Per Each Insert,Number of Edges per Insert,Cycle Time Per Part in Seconds
001016817,Current,"ISCAR METALS, INC.",,Low-Carbon Steels,1018,Wet,None,Okuma,DGN 4003J,IC328,491.0,0.006,0.1,1000.0,62.312724,120,"800,000",60.00,29.92,2,3.73876344
001016817,Actual,SECO,62114681,Low-Carbon Steels,1018,Wet,None,Okuma,LCMF 1604-0400-FT,TGP25,655.0,0.008,0.1,1000.0,35.03307,120,"800,000",60.00,26.60,2,2.1019842
001016814,Current,CUTTING TOOL INNOVATIONS,,"Ferritic, Martensitic, PH Stainless Steels",15-5 PH,Wet,Light,CNC,CNMG 431,U-KN,147.0,0.0045,0.085,1.0,7.180254308,30,250,60,5.66,4,430.81525848
001016814,Actual,SUMITOMO ELECTRIC CARBIDE INC,92089754,"Ferritic, Martensitic, PH Stainless Steels",15-5 PH,Wet,Light,CNC,CNMG 431 ESU,AC510U,350.0,0.0045,0.085,8.0,24.125654431999997,30,250,60,9.28,4,180.94240824
001016813,Current,SURPLUS BUYS,,"Ferritic, Martensitic, PH Stainless Steels",15-5 PH,Wet,None,CNC,DNMG431,U-KN,128.0,0.004,0.062,1.0,55.219240848,60,512,100,8.50,4,3313.15445088
001016813,Actual,TUNGALOY,01685767,"Ferritic, Martensitic, PH Stainless Steels",15-5 PH,Wet,None,CNC,DNMG431-28,AH120,278.0,0.005,0.062,22.0,447.47448116799995,60,512,100,18.08,4,1220.38494864
001016809,Current,"ISCAR METALS, INC.",,Low-Carbon Steels,1018,Wet,None,Slant bed lathe,CNMG 543,IC3028,900.0,0.005,0.225,20.0,73.29842932,90,3000,65.0,22.00,4,219.89528796
001016809,Actual,HERTEL,37770195,Low-Carbon Steels,1018,Wet,None,Slant bed lathe,CNMG543 HMR,HC125T,900.0,0.006,0.225,10.0,30.54101222,90,3000,65.0,17.08,4,183.24607332
001016803,Current,KENNAMETAL,,Free-Machining Steels,1141,Wet,None,Kia 10,GSN125N,KC722,1000.0,0.0015,0.125,30.0,6.91263087,120,10000,100.00,16.01,1,13.82526174
001016803,Actual,"ISCAR METALS, INC.",51525582,Free-Machining Steels,1141,Wet,None,Kia 10,DGN3102C,IC808,350.0,0.003,0.125,250.0,82.29322475,120,10000,100.00,24.02,2,19.75037394
